game_id,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
78613,dropped,0,0,,,,illegal_share_buy,
78693,dropped,0,0,,,,illegal_share_buy,
78785,perfect,453,453,,,,,
78920,perfect,783,783,,,,,
78923,perfect,787,787,,,,,
78981,perfect,778,778,,,,,
79019,perfect,827,827,,,,,
79023,perfect,412,412,,,,,
79115,perfect,896,896,,,,,
79182,perfect,373,373,,,,,
79188,perfect,950,950,,,,,
79363,perfect,784,784,,,,,
79377,dropped,0,0,,,,illegal_share_buy,
79469,perfect,728,728,,,,,
79484,perfect,457,457,,,,,
79503,dropped,0,0,,,,illegal_share_buy,
79548,perfect,687,687,,,,,
79795,perfect,891,891,,,,,
79826,perfect,619,619,,,,,
80008,perfect,759,759,,,,,
80201,perfect,944,944,,,,,
80205,perfect,814,814,,,,,
80251,perfect,839,839,,,,,
80350,perfect,435,435,,,,,
80364,perfect,830,830,,,,,
80431,perfect,775,775,,,,,
80592,perfect,814,814,,,,,
80659,perfect,500,500,,,,,
80791,perfect,211,211,,,,,
80909,perfect,845,845,,,,,
80925,perfect,484,484,,,,,
81093,perfect,382,382,,,,,
81119,perfect,842,842,,,,,
81194,perfect,224,224,,,,,
81229,perfect,492,492,,,,,
81282,perfect,510,510,,,,,
81291,perfect,868,868,,,,,
81305,perfect,476,476,,,,,
81332,perfect,534,534,,,,,
81376,perfect,439,439,,,,,
81460,dropped,0,0,,,,illegal_share_buy,
81509,perfect,755,755,,,,,
81526,perfect,334,334,,,,,
81554,perfect,902,902,,,,,
81625,perfect,479,479,,,,,
81664,perfect,745,745,,,,,
81717,perfect,769,769,,,,,
81722,perfect,425,425,,,,,
81803,perfect,859,859,,,,,
81863,perfect,809,809,,,,,
81891,perfect,914,914,,,,,
81901,perfect,204,204,,,,,
82031,perfect,572,572,,,,,
82032,perfect,468,468,,,,,
82065,perfect,955,955,,,,,
82086,perfect,411,411,,,,,
82088,perfect,875,875,,,,,
82201,perfect,778,778,,,,,
82307,perfect,937,937,,,,,
82335,dropped,0,0,,,,illegal_share_buy,
82357,dropped,0,0,,,,illegal_share_buy,
82384,perfect,846,846,,,,,
82395,perfect,627,627,,,,,
82419,perfect,435,435,,,,,
82548,perfect,359,359,,,,,
82549,perfect,808,808,,,,,
82550,perfect,377,377,,,,,
82553,perfect,831,831,,,,,
82554,perfect,780,780,,,,,
82556,perfect,750,750,,,,,
82558,perfect,742,742,,,,,
82559,perfect,353,353,,,,,
82560,perfect,798,798,,,,,
82561,perfect,870,870,,,,,
82563,perfect,1091,1091,,,,,
82564,perfect,810,810,,,,,
82565,perfect,827,827,,,,,
82570,perfect,779,779,,,,,
82571,perfect,870,870,,,,,
82572,perfect,900,900,,,,,
82574,perfect,721,721,,,,,
82575,perfect,625,625,,,,,
82576,perfect,794,794,,,,,
82577,perfect,829,829,,,,,
82578,perfect,843,843,,,,,
82579,perfect,380,380,,,,,
82580,perfect,953,953,,,,,
82581,perfect,312,312,,,,,
82583,perfect,415,415,,,,,
82585,perfect,704,704,,,,,
82586,perfect,532,532,,,,,
82587,perfect,477,477,,,,,
82588,perfect,1026,1026,,,,,
82590,perfect,886,886,,,,,
82591,perfect,570,570,,,,,
82592,perfect,850,850,,,,,
82593,perfect,327,327,,,,,
82594,perfect,492,492,,,,,
82595,perfect,442,442,,,,,
82597,perfect,565,565,,,,,
82598,perfect,779,779,,,,,
82599,perfect,736,736,,,,,
82600,perfect,888,888,,,,,
82601,perfect,992,992,,,,,
82602,perfect,340,340,,,,,
82603,perfect,786,786,,,,,
82604,perfect,799,799,,,,,
82605,perfect,897,897,,,,,
82606,perfect,395,395,,,,,
82607,perfect,862,862,,,,,
82608,perfect,720,720,,,,,
82609,perfect,937,937,,,,,
82610,perfect,876,876,,,,,
82611,perfect,857,857,,,,,
82612,perfect,872,872,,,,,
82613,perfect,915,915,,,,,
82614,perfect,437,437,,,,,
82615,perfect,773,773,,,,,
82616,perfect,699,699,,,,,
82617,perfect,815,815,,,,,
82618,perfect,864,864,,,,,
82619,perfect,803,803,,,,,
82620,perfect,857,857,,,,,
82621,perfect,764,764,,,,,
82622,perfect,902,902,,,,,
82623,perfect,353,353,,,,,
82624,perfect,879,879,,,,,
82625,perfect,444,444,,,,,
82626,perfect,820,820,,,,,
82627,perfect,899,899,,,,,
82628,perfect,525,525,,,,,
82630,perfect,762,762,,,,,
82631,perfect,921,921,,,,,
82632,perfect,856,856,,,,,
82633,perfect,344,344,,,,,
82634,perfect,852,852,,,,,
82635,perfect,438,438,,,,,
82636,perfect,746,746,,,,,
82637,perfect,841,841,,,,,
82638,perfect,915,915,,,,,
82639,perfect,738,738,,,,,
82642,perfect,730,730,,,,,
82646,perfect,448,448,,,,,
82647,perfect,808,808,,,,,
82648,perfect,727,727,,,,,
82649,perfect,426,426,,,,,
82650,perfect,952,952,,,,,
82651,perfect,887,887,,,,,
82652,perfect,407,407,,,,,
82653,perfect,436,436,,,,,
82654,dropped,0,0,,,,illegal_share_buy,
82655,perfect,362,362,,,,,
82656,dropped,0,0,,,,illegal_share_buy,
