game_id,num_players,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
65504,4,perfect,803,803,,,,,
50553,4,perfect,411,411,,,,,
58473,5,dropped,0,0,,,,illegal_share_buy,
86190,4,perfect,741,741,,,,,
71310,4,perfect,856,856,,,,,
76108,3,perfect,737,737,,,,,
46753,5,perfect,382,382,,,,,
74909,5,perfect,397,397,,,,,
57008,6,perfect,163,163,,,,,
28576,4,perfect,466,466,,,,,
64418,4,perfect,434,434,,,,,
38165,4,perfect,785,785,,,,,
61721,4,perfect,832,832,,,,,
79216,3,dropped,0,0,,,,illegal_share_buy,
70710,4,perfect,558,558,,,,,
57778,4,perfect,906,906,,,,,
27334,4,perfect,397,397,,,,,
67205,5,perfect,986,986,,,,,
70612,4,perfect,936,936,,,,,
44065,4,perfect,662,662,,,,,
